Name,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Legendary,Male,Female
Total,1,0.618748354,0.736210652,0.612787429,0.747249861,0.71760947,0.575942655,0.501758383,-0.200693435,-0.332609907
HP,0.618748354,1,0.422386029,0.239622319,0.362379857,0.378718069,0.175952062,0.273619558,-0.151059923,-0.062066558
Attack,0.736210652,0.422386029,1,0.438687055,0.396361755,0.263989551,0.381239739,0.345407976,-0.019728074,-0.283491724
Defense,0.612787429,0.239622319,0.438687055,1,0.223548609,0.510746589,0.015226598,0.2463768,-0.148214176,-0.189178658
SpAtk,0.747249861,0.239622319,0.396361755,0.223548609,1,0.506121421,0.473017884,0.448907256,-0.168327386,-0.311232692
SpDef,0.71760947,0.378718069,0.263989551,0.510746589,0.506121421,1,0.259133114,0.363937117,-0.224550574,-0.225023225
Speed,0.575942655,0.175952062,0.381239739,0.015226598,0.473017884,0.259133114,1,0.326715295,-0.110091597,-0.232928036
Legendary,0.501758383,0.273619558,0.345407976,0.2463768,0.448907256,0.363937117,0.326715295,1,-0.400547427,-0.435044181
Male,-0.200693435,-0.151059923,-0.019728074,-0.148214176,-0.168327386,-0.224550574,-0.110091597,-0.400547427,1,-0.149498878
Female,-0.332609907,-0.062066558,-0.283491724,-0.189178658,-0.311232692,-0.225023225,-0.232928036,-0.435044181,-0.149498878,1
